,Price,Address,BedRooms,BathRooms,Size,Type
0,2500,677Ne24thSt604Miami,1,2.0,709,Rental
1,275000,6831Sw147thAve3bMiami,3,2.0,1660,Residential
2,5000,488Ne18thStreet#609Miami,2,3.0,1108,Rental
3,2975,258Ne115thStMiami,2,1.0,1150,Rental
4,1195000,2431Sw19thStreetMiami,6,2.0,2642,Residential
5,385000,3025Sw103rdCtMiami,3,1.0,895,Residential
6,310000,700Nw201stStMiami,4,2.0,1875,Residential
7,2800,3180Sw24thStreet#3Miami,2,3.0,747,Rental
8,299500,201Nw7thSt103Miami,2,2.0,1037,Residential
9,165000,2241Nw74thStMiami,0,0.0,0,Land
10,435000,520BrickellKeyDrA1612Miami,1,2.0,836,Residential
11,5199,240Nw25thStreet#301Miami,3,3.0,1515,Rental
12,675000,121Ne34thSt2416Miami,2,2.0,870,Residential
13,450000,14840Sw104thStreet100MIAMI,3,3.0,1740,Residential
14,25000,9025Sw114thStMiami,7,7.0,6500,Rental
15,2500,1100SMiamiAve2206Miami,0,1.0,530,Rental
16,449000,14505Sw106thCtMiami,3,2.0,1620,Residential
17,385900,3401Nw101stStMiami,4,2.0,1128,Residential
18,3000,36Nw6thAve808Miami,2,2.0,985,Rental
19,1100,2810Nw51stStCMiami,0,1.0,0,Rental
20,250000,6859Nw17thAveMiami,3,2.0,1000,Residential
21,1100,2810Nw51stStBMiami,0,1.0,0,Rental
22,650000,455Ne111thStMiami,2,2.0,1024,Residential
23,460000,9662Sw162ndPathMiami,3,3.0,1499,Residential
24,3000,2101BrickellAve808Miami,1,1.0,791,Rental
25,2500,7Miami,2,1.0,0,Rental
26,3100,41Se5thSt815Miami,1,2.0,952,Rental
27,230000,14961Sw82ndLn21-506Miami,1,1.0,848,Residential
28,579500,13017Sw143rdTerMiami,3,2.0,1668,Residential
29,2500,219Nw12thAve706Miami,2,2.0,809,Rental
30,499999,N/AMiami,3,2.0,1723,Residential
31,695000,1227Sw30CourtMIAMI,4,2.0,1517,Residential
32,649999,321Sw30thCtMiami,3,2.0,1653,Residential
33,490000,1375NwNw182NdStStreetMiami,3,2.0,1056,Residential
34,425000,17825Nw8thPlMiami,3,2.0,1818,Residential
35,349900,18730Nw11thPlMiami,3,2.0,1392,Residential
36,5000,55Sw9thStreet#2508Miami,2,2.0,788,Rental
37,669000,8395Sw73rdAvenue#313Miami,3,3.0,2026,Residential
38,500000,253Ne2ndStreet1702Miami,1,2.0,0,Residential
39,434000,3177Nw59thStMiami,3,2.0,1488,Residential
40,15000,N/AMiami,4,3.0,2941,Rental
41,650000,2861Sw120thRdMiami,3,2.0,1602,Residential
42,4300,88Sw7thStreet#1508Miami,1,2.0,883,Rental
43,725800,1300SMiamiAve.1109Miami,2,3.0,961,Residential
44,7495,3087ShippingAveMiami,3,3.0,2190,Rental
45,5500,870Ne82ndStreetMiami,5,5.0,1973,Rental
46,2950,905BrickellBayDr1924Miami,2,2.0,990,Rental
47,7500,495BrickellAve3404Miami,2,2.0,1500,Rental
48,280000,N/AMiami,2,2.0,1056,Residential
49,2700,3301Ne1stAveH1213Miami,0,1.0,655,Rental
50,1349000,10195Nw26thStreetMIAMI,5,4.0,3888,Residential
51,3700,488Ne18thSt3202Miami,1,2.0,766,Rental
52,2800,1100SMiamiAve1106Miami,0,1.0,530,Rental
53,480000,19800Sw114thPlaceMiami,4,2.0,1658,Residential
54,5000,1750NBayshoreDr5402Miami,2,2.0,1048,Rental
55,3500,1080BrickellAve503Miami,1,2.0,725,Rental
56,3900,31Se6thSt1402Miami,2,2.0,1016,Rental
57,974500,6630Sw49thTerMiami,3,2.0,1440,Residential
58,1000000,601Ne27thSt104Miami,3,3.0,1866,Residential
59,3995,828Ne76thStMiami,2,1.0,1016,Rental
60,3800,200Se15thRdMiami,2,2.0,945,Rental
61,3200,300SBiscayneBlvd1024Miami,1,2.0,864,Rental
62,498000,10260Sw163rdPl10260Miami,4,3.0,1957,Residential
63,1850000,851Ne1stAve3311Miami,4,4.0,0,Residential
64,160000,5201Nw7thSt505Miami,1,1.0,756,Residential
65,549000,2000NBayshoreDr1604Miami,2,2.0,1067,Residential
66,1900,555Sw16thAve15Miami,2,1.0,620,Rental
67,429000,2310Nw107thStMiami,3,2.0,1513,Residential
68,465000,2475BrickellAve1503Miami,1,1.0,850,Residential
69,358000,8695Nw6thLn2-205Miami,2,2.0,859,Residential
70,299000,11811Sw18thSt3Miami,2,3.0,958,Residential
71,2100,435Nw82ndTer2Miami,2,1.0,1318,Rental
72,2800,531Nw35thAvenue#2Miami,2,2.0,1250,Rental
73,3000,780Ne199thSt101eMiami,3,2.0,1400,Rental
74,389000,6834Sw128thPlMiami,3,3.0,1472,Residential
75,415000,34Nw69Miami,4,2.0,1387,Residential
76,3000,1750NBayshoreDr2403Miami,1,1.0,791,Rental
77,459900,20126Sw124thAveMiami,3,2.0,1342,Residential
78,1999999,1021Nw30thStMiami,0,0.0,5005,Commercial
79,3200,9865Sw83rdStMiami,4,2.0,1250,Rental
80,499000,6338Sw42ndTerMiami,3,1.0,1316,Residential
81,299900,3191Nw88thStreetMIAMI,2,2.0,1486,Residential
82,360000,633Ne167thStreetMIAMI,0,0.0,0,CommercialLease
83,9500,465BrickellAve1201Miami,3,3.0,1977,Rental
84,619000,18173Sw153PlaceMiami,4,3.0,1850,Residential
85,580000,1720Sw67thMiami,4,4.0,1908,Residential
86,199000,3901Sw109thAveE-5Miami,1,1.0,654,Residential
87,440000,7350Sw89thStreet#1511sMiami,2,2.0,1155,Residential
88,500000,1067Ne202ndLaneMiami,3,3.0,2254,Residential
89,4800,3449Ne1stAvenue#l42Miami,1,2.0,1411,Rental
90,549000,2318Nw99thTerMiami,0,0.0,2596,Residential
91,2900,1750NBayshoreDr2606Miami,1,1.0,821,Rental
92,1700,809Ne199thSt105-7Miami,1,1.0,650,Rental
93,709000,3449Ne1stAvenue#l42Miami,1,2.0,1411,Residential
94,3000,350SMiamiAvenue#3711Miami,1,1.0,704,Rental
95,525000,9966Sw157thStMiami,3,2.0,1079,Residential
96,690000,2453Sw17thStMiami,0,0.0,2316,Residential
97,500000,410Ne208thTer410Miami,3,2.0,1485,Residential
98,250000,243Ne141stStreet3bMIAMI,2,2.0,1200,Residential
99,750000,400Nw40thStMiami,3,2.0,1388,Residential
100,3250,600Ne25thStreet#60Miami,2,2.0,970,Rental
101,243000,3035Nw44thStreetMiami,3,1.0,780,Residential
102,5500,1200BrickellBayDrive#2123Miami,2,2.0,1105,Rental
103,339900,14861Sw114thCtMiami,2,2.0,945,Residential
104,3950,1300SMiamiAve3708Miami,1,1.0,649,Rental
105,2900,2101BrickellAve504Miami,1,1.0,791,Rental
106,2200,435Nw82ndTer1Miami,2,1.0,1318,Rental
107,2950,11407Sw110thLnMiami,2,2.0,1380,Rental
108,2700,3401NCountryClubDr615Miami,2,2.0,1081,Rental
109,330000,8214Ne1stAveMiami,3,1.0,1088,Residential
110,3500,6845Nw6thCtMiami,3,2.0,1122,Rental
111,2000,15687Sw85thTer233Miami,2,2.0,775,Rental
112,4300,1060BrickellAve3711Miami,2,2.0,1088,Rental
113,2800,505Ne30thSt204Miami,2,1.0,760,Rental
114,730000,485BrickellAvenue#4007Miami,1,1.0,842,Residential
115,4900,950BrickellBayDr1110Miami,2,3.0,1278,Rental
116,3300,15551Sw110thTerraceMiami,3,3.0,1492,Rental
117,5555,286Nw29thStreet#721Miami,3,2.0,1281,Rental
118,5315,286Nw29thStreet#1116Miami,3,3.0,1311,Rental
119,3185,286Nw29thStreet#817Miami,1,1.0,701,Rental
120,3975,286Nw29thStreet#812Miami,2,2.0,982,Rental
121,2960,286Nw29thStreet#308Miami,1,1.0,646,Rental
122,2600,505Ne30thSt403Miami,2,1.0,760,Rental
123,2675,286Nw29thStreet#1110Miami,0,1.0,560,Rental
124,450000,8395Sw73rdAvenue#409Miami,2,2.0,1296,Residential
125,499000,7921Sw120thAve7921Miami,3,3.0,1800,Residential
126,230000,1770Nw49thStMiami,2,1.0,769,Residential
127,3650,300Ne208thTerMiami,3,3.0,1320,Rental
128,135000,1301NeMiamiGardensDr1112wMiami,1,2.0,861,Residential
129,365000,4628Nw23rdAvenueMiami,3,2.0,1092,Residential
130,480000,2166Nw91stStMiami,0,0.0,2202,Residential
131,2450,9429FontainebleauBoulevard#114-33Miami,2,2.0,1000,Rental
132,625000,15041Sw141stLaneMIAMI,3,3.0,1950,Residential
133,1200,1200Ne110thSt5Miami,0,1.0,1799,Rental
134,750000,244BiscayneBlvd3108Miami,2,2.0,1203,Residential
135,1600,809Ne199thSt105-7Miami,1,1.0,650,Rental
136,4600,801SMiamiAvenue#4307Miami,1,2.0,866,Rental
137,425000,12435Sw123rdTerMiami,3,3.0,1452,Residential
138,175000,7505Sw82ndSt318Miami,1,1.0,560,Residential
139,9000,851Ne1stAve3408Miami,2,3.0,2204,Rental
140,2950,8283Nw1stPlMiami,3,2.0,877,Rental
141,649000,45Sw9thSt3405Miami,1,2.0,852,Residential
142,479990,20910Sw126thCtMiami,3,2.0,1322,Residential
143,639900,21500Sw184thAveMiami,3,3.0,2443,Residential
144,575000,7400Sw132ndCtMiami,3,2.0,1592,Residential
145,585000,737Nw48thStMiami,3,2.0,1462,Residential
146,230000,N/AMiami,0,0.0,0,Business
147,415000,2101BrickellAve1802Miami,1,1.0,791,Residential
148,2750,75Nw84thStMiami,2,1.0,1001,Rental
149,209900,600Nw32ndPl316Miami,2,1.0,722,Residential
150,3200,31Se5thSt202Miami,1,1.0,0,Rental
151,3300,1060BrickellAv2103Miami,1,2.0,963,Rental
152,559000,10134Sw118thCtMiami,4,3.0,1818,Residential
153,17500,1000BrickelPlazaPh5307MIAMI,3,3.0,19,Rental
154,730000,13041Sw106thStMiami,3,3.0,1832,Residential
155,999000,3089Sw21stStreetMiami,3,3.0,2108,Residential
156,3694,3635Ne1stAvenue#1314Miami,2,2.0,1027,Rental
157,2200,1800Nw24thAve203Miami,2,2.0,767,Rental
158,2850,7103Sw115thPlC26Miami,3,2.0,1540,Rental
159,1750,5814Ne4thCtMiami,1,1.0,9182,Rental
160,3450,3000CoralWay1108Miami,2,2.0,1085,Rental
161,2877,3635Ne1stAvenue#1106Miami,1,1.0,707,Rental
162,3767,3635Ne1stAvenue#714Miami,2,2.0,1027,Rental
163,2837,3635Ne1stAvenue#706Miami,1,1.0,707,Rental
164,2375,240Nw25thStreet#809Miami,1,1.0,437,Rental
165,3650,240Nw25thStreet#813Miami,2,2.0,1011,Rental
166,2700,240Nw25thStreet#507Miami,1,1.0,636,Rental
167,399500,1450BrickellBayDr1214Miami,1,2.0,900,Residential
168,2400,234Ne3rdSt708Miami,1,1.0,712,Rental
169,5500,1010BrickellAve4709Miami,2,2.0,1028,Rental
170,499999,3111Nw106thStMiami,5,4.0,2580,Residential
171,899900,3151Sw25thStMiami,0,0.0,2961,Residential
172,899900,3120Sw25thStMiami,0,0.0,2821,Residential
173,484000,325SBiscayneBlvd1718Miami,1,1.0,846,Residential
174,8500,601Ne36thSt2712Miami,2,3.0,1870,Rental
175,350000,N/AMiami,0,0.0,4852,Commercial
176,4200,801SMiamiAve1606Miami,1,2.0,1075,Rental
177,3000,11424Sw132ndPl70-3Miami,3,3.0,1340,Rental
178,699900,6311Nw17AvenueMIAMI,4,3.0,1680,Residential
179,1835000,851Ne1stAve1912Miami,3,4.0,2165,Residential
180,3650,7280Sw89thStD705Miami,2,2.0,1340,Rental
181,3300,999Sw1stAve1410Miami,1,1.0,691,Rental
182,3800,600Ne36thSt1401Miami,2,2.0,1218,Rental
183,5499000,11815Sw64thStMiami,0,0.0,0,Land
184,299000,1750NBayshoreDr1508Miami,0,1.0,503,Residential
185,1400000,11400Sw82ndAvenueRdMiami,5,2.0,2204,Residential
186,685000,659Ne191StreetMIAMI,4,3.0,2156,Residential
187,550000,2746Nw16thStMiami,0,0.0,0,Residential
